Date,Groups,Info,Location,Time,Type
8/24/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3374,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
9/6/2022,Charter Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3399,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Special Meeting
8/18/2022,"Parks, Recreation & Community Services Commission",http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3362,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
8/17/2022,Mayor and City Council of the City of San Bernardino,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3245,"Feldheym Central Library   555 West 6th Street   San Bernardino, CA  92410",5:30 PM,Regular Meeting
8/18/2022,Administrative Civil Penalty (ACP) Hearings,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3390,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Hearing
8/16/2022,Public Safety and Human Relations Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3391,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Special Meeting
8/15/2022,Arts and Historical Preservation Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3393,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",4:00 PM,Regular Meeting
8/11/2022,General Plan Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3323,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
8/10/2022,Downtown Advisory Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3372,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
8/10/2022,Development Environmental Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3373,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",10:00 AM,Regular Meeting
8/10/2022,Animal Control Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3307,"201 N. ""E"" Street   San Bernardino, CA  92401",4:00 PM,Regular Meeting
8/9/2022,Planning Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3369,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
8/8/2022,Public Safety and Human Relations Commission,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3389,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular
8/4/2022,Charter Review Committee,http://sanbernardinocityca.iqm2.com/Citizens/Detail_Meeting.aspx?ID=3377,"201 North ""E"" Street, 3RD Floor   San Bernardino, CA  92401",6:00 PM,Regular Meeting
