Date,Desc,Event,Location,Time
2022-12-15,,Rowe Pre-K Story Time,"108 E. Marshall Blvd.San Bernardino, CA 92404",10:30 AM
2022-12-15,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-12-15,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-12-15,,Villaseñor Family Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-12-17,,Inghram Pre-K Story Time,"1505 W. Highland Ave. San Bernardino, CA 92411",11:00 AM
2022-12-17,Come watch a family-friendly film at the library. ,Feldheym Movie,"555 W Sixth St, San Bernardino, CA 92410, United States",11:00 AM
2022-12-17,Enjoy a family-friendly movie at the library.,Villaseñor Movies at the Library,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",12:00 PM
2022-12-19,,Citizenship Class Feldheym,"555 W Sixth St, San Bernardino, CA 92410, United States",1:00 PM
2022-12-19,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2022-12-19,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-12-19,,Villaseñor Bingo,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",6:00 PM
2022-12-20,,Feldheym Conversation Class,"555 West 6th Street, San Bernardino, CA 92410",2:30 PM
2022-12-20,,Inghram Homework Help,"1505 W Highland Ave, San Bernardino, CA 92411",4:00 PM
2022-12-20,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",4:00 PM
2022-12-20,,Villaseñor Homework Help,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
2022-12-20,,Feldheym Family Bingo,"555 W Sixth St, San Bernardino, CA 92410, United States",5:00 PM
2022-12-21,,Villaseñor Pre-K Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",11:30 AM
2022-12-21,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-12-21,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-12-22,,Feldheym Computer Class,"555 West 6th Street, San Bernardino, CA 92410",10:00 AM
2022-12-22,,Feldheym Story Time,"555 West 6th Street, San Bernardino, CA 92410",10:30 AM
2022-12-22,,Rowe Pre-K Story Time,"108 E. Marshall Blvd.San Bernardino, CA 92404",10:30 AM
2022-12-22,,Feldheym Homework Help,"555 W Sixth St, San Bernardino, CA 92410",3:00 PM
2022-12-22,,Rowe Homework Help,"108 E Marshall Blvd, San Bernardino, CA",3:00 PM
2022-12-22,,Villaseñor Family Story Time,"525 N. Mt. Vernon Ave.San Bernardino, CA 92411",4:00 PM
